,median_transaction_feeUSD,hashrate,sentinusdUSD,difficulty,priceUSD
0,0.0,2775561176.0,1193.0,181.543,0.0495
1,0.0,1554461318.0,2620.0,181.543,0.0726
2,0.0,1551287489.0,4048.0,181.543,0.0859
3,0.0,1640430286.0,2341.0,181.543,0.0783
4,0.0,1723492810.0,2122.0,181.543,0.0767
5,0.0,1705481237.0,2570.0,181.543,0.0649
6,0.0,1716129083.0,1166.0,181.543,0.0566
7,0.0,1665066217.0,2540.0,181.543,0.0581
8,0.0,1907547992.0,2493.0,181.543,0.053
9,0.0,2223656291.0,4608.0,181.543,0.053
10,0.0,2426744254.0,1850.0,239.305,0.058
11,0.0,1950278995.0,4016.0,244.213,0.0595
12,0.0,2095168440.0,1235.0,244.213,0.0648
13,0.0,2189273223.0,1336.0,244.213,0.0663
14,0.0,2265292201.0,1025.0,244.213,0.0664
15,0.0,2671612580.0,16490.0,244.213,0.0611
16,0.0,2982826783.0,3893.0,244.213,0.0613
17,0.0,2904903911.0,2429.0,244.213,0.06
18,0.0,2741851411.0,2006.0,244.213,0.0597
19,0.0,3141922058.0,2430.0,259.068,0.0596
20,0.0,3199053766.0,1155.0,352.161,0.0622
21,0.0,2608076740.0,1514.0,352.161,0.0599
22,0.0,3128125022.0,619.586,352.161,0.06
23,0.0,3451603021.0,5102.0,352.161,0.066
24,0.0,3323478837.0,2337.0,352.161,0.069
25,0.0,3758454224.0,3485.0,352.161,0.0635
26,0.0,3882076899.0,1083.0,352.161,0.069
27,0.0,3918463385.0,2297.0,352.161,0.0655
28,0.0,4198187090.0,1073.0,352.161,0.0663
29,0.0,5792904430.0,1119.0,389.944,0.0661
30,0.0,3723240584.0,4451.0,511.774,0.0643
31,0.0,3546715851.0,3387.0,511.774,0.0678
32,0.0,3326153695.0,2580.0,511.774,0.069
33,0.0,3455494630.0,1373.0,511.774,0.0673
34,0.0,4123747293.0,1955.0,511.774,0.0661
35,0.0,4652854684.0,2551.0,511.774,0.066
36,0.0,4971164317.0,1337.0,511.774,0.0655
37,0.0,5410490997.0,1164.0,511.774,0.0655
38,0.0,5427414403.0,1370.0,511.774,0.065
39,0.0,5641324734.0,1044.0,511.774,0.0656
40,0.0,5452582474.0,917.558,516.557,0.0644
41,0.0,5839636296.0,1851.0,623.387,0.0645
42,0.0,5537117890.0,1073.0,623.387,0.0646
43,0.0,5039874543.0,553.705,623.387,0.0644
44,0.0,4706695827.0,896.554,623.387,0.0648
45,0.0,5304821005.0,2492.0,623.387,0.0621
46,0.0,5349934742.0,1796.0,623.387,0.0625
47,0.0,4860204896.0,2161.0,623.387,0.0622
